gene_k,Rep_333_1_IN,Rep_333_1_IP,Rep_333_1_FC,Rep_333_2_IN,Rep_333_2_IP,Rep_333_2_FC,Rep_333_3_IN,Rep_333_3_IP,Rep_333_3_FC,Rep_444_1_IN,Rep_444_1_IP,Rep_444_1_FC,Rep_444_2_IN,Rep_444_2_IP,Rep_444_2_FC,Rep_444_3_IN,Rep_444_3_IP,Rep_444_3_FC
Gnai3,11.7578,12.1316,0.0451479,11.9632,5.02252,-1.25212,10.4935,11.9159,0.183401,11.993,12.9921,0.115445,11.5216,13.8847,0.269157,11.1578,11.3595,0.0258471
Pbsn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cdc45,1.53793,2.08942,0.442109,0.962845,2.01586,1.06602,1.67003,3.562,1.09281,1.27522,2.29311,0.846562,1.88807,3.30153,0.806222,2.03384,4.63435,1.18816
H19,0.291567,0,-1.79769e+308,0.358938,0,-1.79769e+308,0.444086,0.399225,-0.15364,0.396021,0,-1.79769e+308,0.233586,0,-1.79769e+308,0.225308,0,-1.79769e+308
Scml2,0.212296,0.711033,1.74384,0.194097,0.551113,1.50557,0.244008,0.685843,1.49095,0.273173,0.7316,1.42124,0.173676,0.150586,-0.205807,0.0925001,0.0751803,-0.2991
Apoh,0.223073,2.99399,3.74648,0.349799,3.52268,3.33208,0.253481,4.33521,4.09615,1.63455,0.971547,-0.75054,1.19041,2.84478,1.25686,0.347887,3.42843,3.30086
Narf,27.3579,40.935,0.581377,20.699,37.629,0.862286,23.3995,40.9405,0.807049,38.0865,51.1761,0.426191,27.054,34.3875,0.346046,33.5053,53.4608,0.674093
Cav2,22.8765,40.5305,0.825143,18.9465,37.728,0.993705,15.2315,45.7411,1.58643,14.1934,29.8115,1.07065,13.8069,26.304,0.929895,16.2263,27.4164,0.756701
Klf6,12.9363,18.4911,0.5154,13.9611,17.2765,0.307398,13.0314,21.5557,0.726081,15.6084,28.2032,0.853538,17.3516,25.1483,0.535395,16.2619,28.4987,0.809399
Scmh1,16.4162,15.6019,-0.0734055,13.2647,13.3311,0.007204,17.1548,16.5598,-0.0509281,20.0568,11.5903,-0.791175,21.7115,23.1401,0.0919348,24.9877,18.2998,-0.449391
