Rep_333_1_IN,Rep_333_1_IP
11.7578,12.1316
0,0
1.53793,2.08942
0.291567,0
0.212296,0.711033
0.223073,2.99399
27.3579,40.935
22.8765,40.5305
12.9363,18.4911
16.4162,15.6019
170.119,769.577
0.00637715,0
0.023781,0
0,0
0.565522,0.425309
4.80511,1.2608
0.147195,0.166052
6.79533,8.41623
37.3311,45.8835
6.12903,12.01
1.63031,0.863111
3.24378,4.70724
24.5861,7.34093
0.979609,0
0,0
0.542884,1.01539
2.59697,2.86327
22.4817,67.8194
156.531,344.789
0.027206,0
0,0
6.61785,3.1939
8.97399,21.1287
6.63564,9.54028
0.460607,0.280624
0.0128828,0
120.997,4830.38
0.090572,0
0.0078358,0
3.97769,11.4909
2.05633,0
0.544841,0
0.0578283,0
30.4493,115.111
0.680056,0.753672
3.84667,4.4173
2.06895,0.178438
3.90212,4.60883
16.1738,29.7656
2.22748,3.56513
6.88301,2.71981
39.519,106.773
25.5092,42.5851
7.66968,12.4469
1.0786,0.269924
3.28845,9.77161
165.104,266.905
0.635105,0
1.543,0
0.188015,0.0123308
1.59916,3.51392
61.7501,107.702
32.5559,70.8371
6.78481,8.46308
241.434,176.763
106.178,211.324
0.180265,0.251518
0.342231,0.00696453
2.10191,5.67979
11.8042,11.3429
0.0556023,0
10.6831,21.4959
0,0
1.17562,0.975956
0.0526937,0
0.049879,0
201.921,402.147
1.73911,0.400254
13.2856,2.51294
0.0612676,0
13.4533,5.31445
8.71138,8.81012
0.302751,0
26.851,47.4316
0.349921,0.088414
13.7437,13.5375
10.7492,1.99011
1.94747,0.508374
0.886761,0.993057
0.302439,0.0191048
0.816955,2.16536
72.1907,79.8425
0,0
4.70522,15.3887
0.56419,0.330023
8.05327,3.56616
27.9694,78.9238
0.773166,0.0956432
421.239,989.847
9.06728,1.76158
21.6776,27.7682
17.7092,11.2657
103.516,220.942
85.9065,28.2556
9.26596,11.2846
48.953,77.3109
0,0
0,0
2.62986,5.91075
2.42343,0.590651
26.4345,22.542
8.51245,8.0358
1.29592,0.477465
91.5396,14.4581
0.293017,0.4906
0.0361903,0
1.1527,0.0442385
0,0
0,0
0.0135613,0
11.6247,2.20474
80.9242,111.251
0,0
0.252848,0
0,0
3.36191,1.06446
10.6396,14.539
0.818911,10.7761
544.736,877.774
70.9579,126.583
34.6034,35.5658
10.3229,13.5909
11.8002,10.4858
1.62617,3.45385
5.5624,13.2982
2.27547,0.12195
28.7634,39.4435
0.595644,0.0408475
5.61243,19.1584
0.390843,3.3984
13.3511,20.5284
6.84335,2.88965
1.84104,4.99373
1.18736,0
4.06925,7.10882
66.1258,106.445
